"txid","ordertxid","pair","time","type","ordertype","price","cost","fee","vol","margin","misc","ledgers"
"TGD5EC-UTIEH-V2TZCD","OM7OQ7-24TZE-4ZO67Q","XLTCZEUR","2014-01-13 08:29:48.4906","buy","limit",18.10000,32.66407,0.06533,1.80464463,0.00000,"","L23G4G-ASNXY-EJOH37,LJ3E6L-RYBOZ-JBZWGE"
"T2AUH7-CSHCH-2AYQRR","OM7OQ7-24TZE-4ZO67Q","XLTCZEUR","2014-01-13 10:02:21.7971","buy","limit",18.10000,68.33601,0.13667,3.77547000,0.00000,"","L6CYQE-FKCUL-CTXYSM,LZZI4A-2KNVK-FJK42E"
"T4SXUL-3RTZY-O7R7NV","OM7OQ7-24TZE-4ZO67Q","XLTCZEUR","2014-01-13 10:03:16.0107","buy","limit",18.10000,92.21389,0.18443,5.09469000,0.00000,"","LMIYN6-LDHF7-VUBRBZ,L3K36G-LDPUI-E4WQ3J"
"TOCB6M-IEY6I-OVV42U","OM7OQ7-24TZE-4ZO67Q","XLTCZEUR","2014-01-13 10:26:53.4414","buy","limit",18.10000,4.84700,0.00969,0.26779000,0.00000,"","LFSERS-YLEZM-DFUZ4G,LXNCQO-6MXQO-ES2MST"
"TRTK6L-DLHY5-QS7MXM","OM7OQ7-24TZE-4ZO67Q","XLTCZEUR","2014-01-13 10:29:38.4069","buy","limit",18.10000,20.55070,0.04110,1.13539764,0.00000,"","LTXOJS-CZSYZ-HGYQFF,LKTZIA-LSV5B-LGSHTR"
"T44HLD-I4E6Z-3PVAMI","OM7OQ7-24TZE-4ZO67Q","XLTCZEUR","2014-01-13 10:33:08.265","buy","limit",18.10000,90.50000,0.18100,5.00000000,0.00000,"","LOEMZ3-ICDLM-FEINLM,LZWGDJ-7B3MK-KKJF4P"
"TJTGIZ-MGDT7-O54TG4","OM7OQ7-24TZE-4ZO67Q","XLTCZEUR","2014-01-13 10:33:30.2564","buy","limit",18.10000,90.50000,0.18100,5.00000000,0.00000,"","L5JN24-TDY5S-7RWZ2C,L5HN5O-RV636-33D7YX"
"TGJK5K-U67TP-YXYN7Z","OM7OQ7-24TZE-4ZO67Q","XLTCZEUR","2014-01-13 10:34:09.6619","buy","limit",18.10000,90.50000,0.18100,5.00000000,0.00000,"","LQ2MEQ-WHHB2-3K4NWL,LSRRVM-PS3T2-2FQKW3"
"TJS73K-5MEHU-Q2HEIE","OM7OQ7-24TZE-4ZO67Q","XLTCZEUR","2014-01-13 10:35:24.4285","buy","limit",18.10000,90.50000,0.18100,5.00000000,0.00000,"","LZH6VF-Y3OTA-B5NBED,L22NPE-TDTKX-KZJBFH"
"TZXIKF-3P2DW-4UQVBT","OM7OQ7-24TZE-4ZO67Q","XLTCZEUR","2014-01-13 10:37:32.4691","buy","limit",18.10000,19.38833,0.03878,1.07117845,0.00000,"","LIQFO6-R5VZG-DANBYJ,LWYCTQ-PQX7G-6AWJMA"
